YEAR,STATEFIP,COUNTYFP,OWNERSHP,HHINCOME,SEX,AGE,MARST,RACE,EDUC
2019,13,0,1,33800,0,65,3,2,1
2019,13,0,0,2500,1,42,0,1,1
2019,13,0,0,9500,1,53,3,1,1
2019,13,117,1,315000,0,59,1,1,3
2019,13,117,1,315000,1,58,1,1,2
2019,13,0,0,92000,1,52,3,2,1
2019,13,57,1,113000,1,55,1,1,1
2019,13,57,1,113000,0,53,1,1,1
2019,13,57,1,113000,0,29,0,1,1
2019,13,0,1,646000,1,50,1,1,3
2019,13,0,1,646000,0,52,1,1,2
2019,13,0,1,646000,0,24,0,1,2
2019,13,59,1,64000,1,25,0,1,2
2019,13,59,1,64000,0,25,0,1,2
2019,13,0,1,55500,1,32,1,1,2
2019,13,0,1,55500,0,31,1,1,1
2019,13,0,1,45900,1,64,1,1,1
2019,13,0,1,45900,0,62,1,1,1
2019,13,0,0,21100,0,64,3,1,1
2019,13,0,0,21100,1,46,3,1,1
2019,13,151,1,86000,1,40,1,1,2
2019,13,151,1,86000,0,37,1,1,1
2019,13,77,1,95000,0,69,1,1,1
2019,13,77,1,95000,1,55,1,1,2
2019,13,0,1,54000,0,49,1,2,3
2019,13,0,1,54000,1,46,1,2,2
2019,13,139,0,108000,0,34,1,1,2
2019,13,139,0,108000,1,29,1,1,2
2019,13,0,0,11000,0,51,0,2,2
2019,13,0,0,64700,1,26,3,1,2
2019,13,0,0,64700,0,31,0,2,1
2019,13,0,0,24000,0,43,0,1,1
2019,13,0,0,15600,0,55,3,1,2
2019,13,0,0,15600,0,27,0,1,1
2019,13,0,1,38500,0,66,4,1,1
2019,13,117,1,155000,0,63,1,1,3
2019,13,117,1,155000,1,60,1,1,2
2019,13,117,1,155000,0,26,0,1,2
2019,13,117,1,155000,1,23,0,1,2
2019,13,135,1,50000,1,66,1,1,3
2019,13,135,1,50000,0,63,1,1,2
2019,13,117,1,136000,0,47,1,1,2
2019,13,117,1,136000,1,50,1,1,2
2019,13,67,1,40000,1,30,0,2,2
